"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	149
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	117
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	149
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	129
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	169
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2004"	"2004"	"Male"	"M"	18
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	18
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2013"	"2013"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"1999"	"1999"	"Female"	"F"	96
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"1999"	"1999"	"Male"	"M"	130
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2000"	"2000"	"Female"	"F"	91
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2000"	"2000"	"Male"	"M"	129
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2001"	"2001"	"Female"	"F"	111
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2001"	"2001"	"Male"	"M"	107
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2002"	"2002"	"Female"	"F"	83
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2002"	"2002"	"Male"	"M"	132
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2003"	"2003"	"Female"	"F"	92
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2003"	"2003"	"Male"	"M"	130
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2004"	"2004"	"Female"	"F"	112
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2004"	"2004"	"Male"	"M"	115
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	"Female"	"F"	124
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	"Male"	"M"	155
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2006"	"2006"	"Female"	"F"	116
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2006"	"2006"	"Male"	"M"	136
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	"Female"	"F"	111
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	"Male"	"M"	143
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2008"	"2008"	"Female"	"F"	117
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2008"	"2008"	"Male"	"M"	156
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2009"	"2009"	"Female"	"F"	125
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2009"	"2009"	"Male"	"M"	153
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2010"	"2010"	"Female"	"F"	118
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2010"	"2010"	"Male"	"M"	157
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2011"	"2011"	"Female"	"F"	131
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2011"	"2011"	"Male"	"M"	147
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	"Female"	"F"	145
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	"Male"	"M"	195
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	"Female"	"F"	155
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	"Male"	"M"	174
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"1999"	"1999"	"Female"	"F"	73
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"1999"	"1999"	"Male"	"M"	99
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2000"	"2000"	"Female"	"F"	70
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2000"	"2000"	"Male"	"M"	91
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2001"	"2001"	"Female"	"F"	76
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2001"	"2001"	"Male"	"M"	64
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2002"	"2002"	"Female"	"F"	77
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2002"	"2002"	"Male"	"M"	77
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2003"	"2003"	"Female"	"F"	60
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2003"	"2003"	"Male"	"M"	88
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	"Female"	"F"	71
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	"Male"	"M"	76
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2005"	"2005"	"Female"	"F"	70
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2005"	"2005"	"Male"	"M"	76
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2006"	"2006"	"Female"	"F"	65
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2006"	"2006"	"Male"	"M"	69
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2007"	"2007"	"Female"	"F"	80
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2007"	"2007"	"Male"	"M"	93
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	"Female"	"F"	72
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	"Male"	"M"	86
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2009"	"2009"	"Female"	"F"	71
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2009"	"2009"	"Male"	"M"	93
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2010"	"2010"	"Female"	"F"	67
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2010"	"2010"	"Male"	"M"	90
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2011"	"2011"	"Female"	"F"	60
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2011"	"2011"	"Male"	"M"	97
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2012"	"2012"	"Female"	"F"	91
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2012"	"2012"	"Male"	"M"	84
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2013"	"2013"	"Female"	"F"	69
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2013"	"2013"	"Male"	"M"	99
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	"Female"	"F"	669
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	"Male"	"M"	773
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	"Female"	"F"	609
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	"Male"	"M"	771
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2001"	"2001"	"Female"	"F"	607
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2001"	"2001"	"Male"	"M"	754
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	"Female"	"F"	606
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	"Male"	"M"	803
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	"Female"	"F"	639
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	"Male"	"M"	774
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	"Female"	"F"	613
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	"Male"	"M"	775
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	"Female"	"F"	624
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	"Male"	"M"	852
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	"Female"	"F"	621
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	"Male"	"M"	800
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	"Female"	"F"	656
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	"Male"	"M"	825
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	"Female"	"F"	646
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	"Male"	"M"	867
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	"Female"	"F"	685
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	"Male"	"M"	881
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	"Female"	"F"	691
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	"Male"	"M"	837
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	"Female"	"F"	713
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	"Male"	"M"	909
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"Female"	"F"	736
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"Male"	"M"	978
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"Female"	"F"	739
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"Male"	"M"	970
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"1999"	"1999"	"Female"	"F"	61
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"1999"	"1999"	"Male"	"M"	102
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2000"	"2000"	"Female"	"F"	84
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2000"	"2000"	"Male"	"M"	83
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2001"	"2001"	"Female"	"F"	71
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2001"	"2001"	"Male"	"M"	101
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2002"	"2002"	"Female"	"F"	87
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2002"	"2002"	"Male"	"M"	87
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2003"	"2003"	"Female"	"F"	80
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2003"	"2003"	"Male"	"M"	126
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2004"	"2004"	"Female"	"F"	81
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2004"	"2004"	"Male"	"M"	95
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2005"	"2005"	"Female"	"F"	80
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2005"	"2005"	"Male"	"M"	106
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2006"	"2006"	"Female"	"F"	83
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2006"	"2006"	"Male"	"M"	116
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2007"	"2007"	"Female"	"F"	97
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2007"	"2007"	"Male"	"M"	111
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2008"	"2008"	"Female"	"F"	90
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2008"	"2008"	"Male"	"M"	117
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2009"	"2009"	"Female"	"F"	80
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2009"	"2009"	"Male"	"M"	136
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2010"	"2010"	"Female"	"F"	100
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2010"	"2010"	"Male"	"M"	126
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2011"	"2011"	"Female"	"F"	86
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2011"	"2011"	"Male"	"M"	128
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2012"	"2012"	"Female"	"F"	112
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2012"	"2012"	"Male"	"M"	131
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2013"	"2013"	"Female"	"F"	123
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2013"	"2013"	"Male"	"M"	133
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"1999"	"1999"	"Female"	"F"	57
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"1999"	"1999"	"Male"	"M"	100
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2000"	"2000"	"Female"	"F"	77
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2000"	"2000"	"Male"	"M"	88
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2001"	"2001"	"Female"	"F"	80
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2001"	"2001"	"Male"	"M"	71
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2002"	"2002"	"Female"	"F"	59
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2002"	"2002"	"Male"	"M"	87
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2003"	"2003"	"Female"	"F"	62
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2003"	"2003"	"Male"	"M"	91
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2004"	"2004"	"Female"	"F"	78
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2004"	"2004"	"Male"	"M"	77
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2005"	"2005"	"Female"	"F"	85
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2005"	"2005"	"Male"	"M"	81
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	81
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"	73
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	63
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	91
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2008"	"2008"	"Female"	"F"	62
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	91
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	82
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	100
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	90
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	109
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	80
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	91
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"	73
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	95
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	76
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	79
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	21
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	16
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2000"	"2000"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2001"	"2001"	"Female"	"F"	19
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2001"	"2001"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2002"	"2002"	"Female"	"F"	19
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2002"	"2002"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2003"	"2003"	"Male"	"M"	19
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2004"	"2004"	"Male"	"M"	19
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2005"	"2005"	"Female"	"F"	18
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2005"	"2005"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2006"	"2006"	"Female"	"F"	16
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2006"	"2006"	"Male"	"M"	30
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2007"	"2007"	"Female"	"F"	17
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2007"	"2007"	"Male"	"M"	18
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2008"	"2008"	"Female"	"F"	25
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2008"	"2008"	"Male"	"M"	25
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2009"	"2009"	"Female"	"F"	17
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	25
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	23
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2012"	"2012"	"Female"	"F"	24
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2013"	"2013"	"Female"	"F"	31
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"1999"	"1999"	"Female"	"F"	351
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"1999"	"1999"	"Male"	"M"	422
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2000"	"2000"	"Female"	"F"	380
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2000"	"2000"	"Male"	"M"	527
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2001"	"2001"	"Female"	"F"	389
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2001"	"2001"	"Male"	"M"	513
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2002"	"2002"	"Female"	"F"	380
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2002"	"2002"	"Male"	"M"	478
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2003"	"2003"	"Female"	"F"	355
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2003"	"2003"	"Male"	"M"	463
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2004"	"2004"	"Female"	"F"	394
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2004"	"2004"	"Male"	"M"	446
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2005"	"2005"	"Female"	"F"	397
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2005"	"2005"	"Male"	"M"	492
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2006"	"2006"	"Female"	"F"	378
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2006"	"2006"	"Male"	"M"	482
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2007"	"2007"	"Female"	"F"	384
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2007"	"2007"	"Male"	"M"	467
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2008"	"2008"	"Female"	"F"	367
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2008"	"2008"	"Male"	"M"	500
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2009"	"2009"	"Female"	"F"	404
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2009"	"2009"	"Male"	"M"	514
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2010"	"2010"	"Female"	"F"	411
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2010"	"2010"	"Male"	"M"	563
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2011"	"2011"	"Female"	"F"	418
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2011"	"2011"	"Male"	"M"	593
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2012"	"2012"	"Female"	"F"	468
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2012"	"2012"	"Male"	"M"	612
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2013"	"2013"	"Female"	"F"	481
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2013"	"2013"	"Male"	"M"	541
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"1999"	"1999"	"Female"	"F"	122
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	166
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2000"	"2000"	"Female"	"F"	127
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2000"	"2000"	"Male"	"M"	167
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2001"	"2001"	"Female"	"F"	117
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	168
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2002"	"2002"	"Female"	"F"	139
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	179
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2003"	"2003"	"Female"	"F"	146
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	153
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	128
