"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Sex"	"Sex Code"	"States"	"States Code"	"Year"	"Year Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2009"	"2009"	207
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2010"	"2010"	198
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2011"	"2011"	217
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2012"	"2012"	218
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arizona"	"04"	"2013"	"2013"	182
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2001"	"2001"	75
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2002"	"2002"	63
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2003"	"2003"	82
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2004"	"2004"	72
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2005"	"2005"	95
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2006"	"2006"	83
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2007"	"2007"	115
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2008"	"2008"	97
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2009"	"2009"	96
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2010"	"2010"	97
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2011"	"2011"	82
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2012"	"2012"	101
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Arkansas"	"05"	"2013"	"2013"	95
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"1999"	"1999"	893
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2000"	"2000"	858
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2001"	"2001"	902
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2002"	"2002"	934
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2003"	"2003"	980
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2004"	"2004"	916
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2005"	"2005"	973
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2006"	"2006"	917
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2007"	"2007"	975
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2008"	"2008"	939
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2009"	"2009"	1008
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2010"	"2010"	1032
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2011"	"2011"	975
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2012"	"2012"	973
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"California"	"06"	"2013"	"2013"	1051
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"1999"	"1999"	112
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2000"	"2000"	120
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2001"	"2001"	130
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2002"	"2002"	120
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2003"	"2003"	130
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2004"	"2004"	138
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2005"	"2005"	143
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2006"	"2006"	155
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2007"	"2007"	129
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2008"	"2008"	155
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2009"	"2009"	161
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2010"	"2010"	144
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2011"	"2011"	144
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2012"	"2012"	148
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Colorado"	"08"	"2013"	"2013"	142
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"1999"	"1999"	112
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2000"	"2000"	122
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2001"	"2001"	133
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2002"	"2002"	97
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2003"	"2003"	129
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2004"	"2004"	119
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2005"	"2005"	130
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2006"	"2006"	127
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2007"	"2007"	116
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2008"	"2008"	118
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2009"	"2009"	127
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2010"	"2010"	125
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2011"	"2011"	126
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2012"	"2012"	115
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Connecticut"	"09"	"2013"	"2013"	133
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"1999"	"1999"	31
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2000"	"2000"	25
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2001"	"2001"	28
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2002"	"2002"	23
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2003"	"2003"	19
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2004"	"2004"	29
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2005"	"2005"	26
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2006"	"2006"	26
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2007"	"2007"	30
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2008"	"2008"	31
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2009"	"2009"	31
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2010"	"2010"	27
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2011"	"2011"	35
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2012"	"2012"	39
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Delaware"	"10"	"2013"	"2013"	33
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"District of Columbia"	"11"	"2003"	"2003"	17
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"District of Columbia"	"11"	"2005"	"2005"	24
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"District of Columbia"	"11"	"2007"	"2007"	17
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"District of Columbia"	"11"	"2008"	"2008"	16
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"District of Columbia"	"11"	"2009"	"2009"	18
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"District of Columbia"	"11"	"2010"	"2010"	21
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"District of Columbia"	"11"	"2013"	"2013"	17
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"1999"	"1999"	557
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2000"	"2000"	609
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2001"	"2001"	583
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2002"	"2002"	619
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2003"	"2003"	572
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2004"	"2004"	632
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2005"	"2005"	632
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2006"	"2006"	621
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2007"	"2007"	638
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2008"	"2008"	624
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2009"	"2009"	672
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2010"	"2010"	649
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2011"	"2011"	639
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2012"	"2012"	655
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Florida"	"12"	"2013"	"2013"	674
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"1999"	"1999"	217
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2000"	"2000"	213
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2001"	"2001"	220
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2002"	"2002"	226
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2003"	"2003"	236
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2004"	"2004"	271
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2005"	"2005"	245
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2006"	"2006"	263
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2007"	"2007"	272
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2008"	"2008"	257
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2009"	"2009"	263
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2010"	"2010"	252
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2011"	"2011"	268
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2012"	"2012"	286
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Georgia"	"13"	"2013"	"2013"	280
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"1999"	"1999"	23
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2000"	"2000"	30
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2001"	"2001"	24
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2002"	"2002"	29
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2003"	"2003"	22
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2004"	"2004"	26
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2005"	"2005"	28
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2006"	"2006"	27
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2007"	"2007"	23
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2008"	"2008"	23
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2009"	"2009"	24
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2010"	"2010"	23
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2011"	"2011"	22
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2012"	"2012"	38
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Hawaii"	"15"	"2013"	"2013"	33
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"1999"	"1999"	35
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2000"	"2000"	43
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2001"	"2001"	29
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2002"	"2002"	45
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2003"	"2003"	45
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2004"	"2004"	49
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2005"	"2005"	64
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2006"	"2006"	41
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2007"	"2007"	59
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2008"	"2008"	52
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2009"	"2009"	37
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2010"	"2010"	40
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2011"	"2011"	33
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2012"	"2012"	48
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Idaho"	"16"	"2013"	"2013"	50
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"1999"	"1999"	361
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2000"	"2000"	369
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2001"	"2001"	350
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2002"	"2002"	380
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2003"	"2003"	354
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2004"	"2004"	411
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2005"	"2005"	368
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2006"	"2006"	405
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2007"	"2007"	399
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2008"	"2008"	427
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2009"	"2009"	389
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2010"	"2010"	406
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2011"	"2011"	406
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2012"	"2012"	368
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Illinois"	"17"	"2013"	"2013"	366
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"1999"	"1999"	215
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2000"	"2000"	182
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2001"	"2001"	194
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2002"	"2002"	199
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2003"	"2003"	194
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2004"	"2004"	201
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2005"	"2005"	214
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2006"	"2006"	232
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2007"	"2007"	234
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2008"	"2008"	212
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2009"	"2009"	201
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2010"	"2010"	212
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2011"	"2011"	192
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2012"	"2012"	209
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Indiana"	"18"	"2013"	"2013"	203
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"1999"	"1999"	92
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2000"	"2000"	103
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2001"	"2001"	113
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2002"	"2002"	103
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2003"	"2003"	100
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2004"	"2004"	108
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2005"	"2005"	123
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2006"	"2006"	94
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2007"	"2007"	108
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2008"	"2008"	102
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2009"	"2009"	118
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2010"	"2010"	102
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2011"	"2011"	125
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2012"	"2012"	118
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Iowa"	"19"	"2013"	"2013"	101
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"1999"	"1999"	79
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2000"	"2000"	96
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2001"	"2001"	93
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2002"	"2002"	68
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2003"	"2003"	99
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2004"	"2004"	84
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2005"	"2005"	95
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2006"	"2006"	79
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2007"	"2007"	109
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2008"	"2008"	89
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2009"	"2009"	75
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2010"	"2010"	90
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2011"	"2011"	105
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2012"	"2012"	98
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kansas"	"20"	"2013"	"2013"	100
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"1999"	"1999"	128
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2000"	"2000"	126
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2001"	"2001"	123
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2002"	"2002"	137
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2003"	"2003"	133
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2004"	"2004"	140
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2005"	"2005"	122
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2006"	"2006"	127
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2007"	"2007"	160
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2008"	"2008"	150
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2009"	"2009"	171
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2010"	"2010"	149
	"Brain and Other Nervous System"	"31010-31040"	"Female"	"F"	"Kentucky"	"21"	"2011"	"2011"	162
