"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2008"	"2008"	"White"	"2106-3"	217
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2009"	"2009"	"Black or African American"	"2054-5"	28
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2009"	"2009"	"White"	"2106-3"	237
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2010"	"2010"	"Black or African American"	"2054-5"	25
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2010"	"2010"	"White"	"2106-3"	248
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2011"	"2011"	"Black or African American"	"2054-5"	29
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2011"	"2011"	"White"	"2106-3"	233
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	"Black or African American"	"2054-5"	35
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	"White"	"2106-3"	230
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	"Black or African American"	"2054-5"	38
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	"White"	"2106-3"	259
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2001"	"2001"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2002"	"2002"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2003"	"2003"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2004"	"2004"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2005"	"2005"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2006"	"2006"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2007"	"2007"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2008"	"2008"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2009"	"2009"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2010"	"2010"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2011"	"2011"	"White"	"2106-3"	32
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2012"	"2012"	"White"	"2106-3"	25
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2013"	"2013"	"White"	"2106-3"	28
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"1999"	"1999"	"White"	"2106-3"	220
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	211
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	212
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	210
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	209
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2004"	"2004"	"White"	"2106-3"	223
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	"White"	"2106-3"	269
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2006"	"2006"	"White"	"2106-3"	245
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	"White"	"2106-3"	243
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2008"	"2008"	"White"	"2106-3"	259
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2009"	"2009"	"White"	"2106-3"	271
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2010"	"2010"	"White"	"2106-3"	266
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2011"	"2011"	"White"	"2106-3"	269
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	"White"	"2106-3"	320
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	"White"	"2106-3"	314
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"1999"	"1999"	"White"	"2106-3"	159
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2000"	"2000"	"White"	"2106-3"	149
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2001"	"2001"	"White"	"2106-3"	132
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2002"	"2002"	"White"	"2106-3"	145
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2003"	"2003"	"White"	"2106-3"	133
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	"Black or African American"	"2054-5"	16
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	"White"	"2106-3"	131
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2005"	"2005"	"White"	"2106-3"	133
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2006"	"2006"	"White"	"2106-3"	118
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2007"	"2007"	"White"	"2106-3"	161
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	"Black or African American"	"2054-5"	17
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	"White"	"2106-3"	141
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2009"	"2009"	"White"	"2106-3"	154
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2010"	"2010"	"White"	"2106-3"	148
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2011"	"2011"	"White"	"2106-3"	147
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2012"	"2012"	"White"	"2106-3"	160
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2013"	"2013"	"White"	"2106-3"	158
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	69
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	"Black or African American"	"2054-5"	64
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	"White"	"2106-3"	1307
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	67
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	"Black or African American"	"2054-5"	53
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	"White"	"2106-3"	1255
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	74
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2001"	"2001"	"Black or African American"	"2054-5"	59
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2001"	"2001"	"White"	"2106-3"	1224
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	82
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	"Black or African American"	"2054-5"	49
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	"White"	"2106-3"	1273
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	81
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	"Black or African American"	"2054-5"	54
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	"White"	"2106-3"	1268
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	96
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	"Black or African American"	"2054-5"	66
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	"White"	"2106-3"	1223
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	98
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	"Black or African American"	"2054-5"	60
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	"White"	"2106-3"	1316
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	109
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	"Black or African American"	"2054-5"	59
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	"White"	"2106-3"	1251
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	97
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	"Black or African American"	"2054-5"	56
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	"White"	"2106-3"	1325
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	110
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	"Black or African American"	"2054-5"	57
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	"White"	"2106-3"	1342
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	103
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	"Black or African American"	"2054-5"	66
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	"White"	"2106-3"	1392
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	125
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	"Black or African American"	"2054-5"	66
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	"White"	"2106-3"	1330
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	117
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	"Black or African American"	"2054-5"	69
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	"White"	"2106-3"	1431
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	130
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"Black or African American"	"2054-5"	77
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"White"	"2106-3"	1494
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	149
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"Black or African American"	"2054-5"	67
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"White"	"2106-3"	1482
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"1999"	"1999"	"White"	"2106-3"	157
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2000"	"2000"	"White"	"2106-3"	158
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2001"	"2001"	"White"	"2106-3"	169
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2002"	"2002"	"White"	"2106-3"	168
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2003"	"2003"	"White"	"2106-3"	201
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2004"	"2004"	"White"	"2106-3"	170
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2005"	"2005"	"White"	"2106-3"	178
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2006"	"2006"	"White"	"2106-3"	189
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2007"	"2007"	"White"	"2106-3"	201
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2008"	"2008"	"White"	"2106-3"	199
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2009"	"2009"	"White"	"2106-3"	207
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2010"	"2010"	"White"	"2106-3"	215
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2011"	"2011"	"White"	"2106-3"	212
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2012"	"2012"	"White"	"2106-3"	232
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2013"	"2013"	"White"	"2106-3"	245
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"1999"	"1999"	"White"	"2106-3"	149
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2000"	"2000"	"White"	"2106-3"	158
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2001"	"2001"	"White"	"2106-3"	146
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2002"	"2002"	"White"	"2106-3"	139
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2003"	"2003"	"White"	"2106-3"	147
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2004"	"2004"	"White"	"2106-3"	147
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2005"	"2005"	"White"	"2106-3"	158
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2006"	"2006"	"White"	"2106-3"	145
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2007"	"2007"	"White"	"2106-3"	150
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2008"	"2008"	"White"	"2106-3"	142
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2009"	"2009"	"White"	"2106-3"	175
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2010"	"2010"	"White"	"2106-3"	189
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2011"	"2011"	"White"	"2106-3"	167
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2012"	"2012"	"White"	"2106-3"	158
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2013"	"2013"	"White"	"2106-3"	151
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"1999"	"1999"	"White"	"2106-3"	31
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2000"	"2000"	"White"	"2106-3"	34
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2001"	"2001"	"White"	"2106-3"	43
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2002"	"2002"	"White"	"2106-3"	34
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2003"	"2003"	"White"	"2106-3"	29
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2004"	"2004"	"White"	"2106-3"	30
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2005"	"2005"	"White"	"2106-3"	35
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2006"	"2006"	"White"	"2106-3"	39
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2007"	"2007"	"White"	"2106-3"	34
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2008"	"2008"	"White"	"2106-3"	40
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2009"	"2009"	"White"	"2106-3"	38
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2010"	"2010"	"White"	"2106-3"	28
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2011"	"2011"	"White"	"2106-3"	43
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2012"	"2012"	"White"	"2106-3"	40
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2013"	"2013"	"White"	"2106-3"	46
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"1999"	"1999"	"Black or African American"	"2054-5"	51
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"1999"	"1999"	"White"	"2106-3"	719
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2000"	"2000"	"Black or African American"	"2054-5"	54
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2000"	"2000"	"White"	"2106-3"	850
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2001"	"2001"	"Black or African American"	"2054-5"	47
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2001"	"2001"	"White"	"2106-3"	847
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2002"	"2002"	"Black or African American"	"2054-5"	50
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2002"	"2002"	"White"	"2106-3"	806
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2003"	"2003"	"Black or African American"	"2054-5"	57
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2003"	"2003"	"White"	"2106-3"	756
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2004"	"2004"	"Black or African American"	"2054-5"	59
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2004"	"2004"	"White"	"2106-3"	777
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2005"	"2005"	"Black or African American"	"2054-5"	59
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2005"	"2005"	"White"	"2106-3"	823
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2006"	"2006"	"Black or African American"	"2054-5"	54
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2006"	"2006"	"White"	"2106-3"	799
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2007"	"2007"	"Black or African American"	"2054-5"	54
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2007"	"2007"	"White"	"2106-3"	789
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2008"	"2008"	"Black or African American"	"2054-5"	57
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2008"	"2008"	"White"	"2106-3"	807
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2009"	"2009"	"Black or African American"	"2054-5"	61
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2009"	"2009"	"White"	"2106-3"	850
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2010"	"2010"	"Black or African American"	"2054-5"	62
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2010"	"2010"	"White"	"2106-3"	903
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2011"	"2011"	"Black or African American"	"2054-5"	66
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2011"	"2011"	"White"	"2106-3"	935
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2012"	"2012"	"Black or African American"	"2054-5"	87
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2012"	"2012"	"White"	"2106-3"	987
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2013"	"2013"	"Black or African American"	"2054-5"	62
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2013"	"2013"	"White"	"2106-3"	951
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"1999"	"1999"	"Black or African American"	"2054-5"	46
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"1999"	"1999"	"White"	"2106-3"	239
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2000"	"2000"	"Black or African American"	"2054-5"	47
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2000"	"2000"	"White"	"2106-3"	242
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2001"	"2001"	"Black or African American"	"2054-5"	32
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2001"	"2001"	"White"	"2106-3"	252
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2002"	"2002"	"Black or African American"	"2054-5"	47
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2002"	"2002"	"White"	"2106-3"	268
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2003"	"2003"	"Black or African American"	"2054-5"	48
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2003"	"2003"	"White"	"2106-3"	250
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2004"	"2004"	"Black or African American"	"2054-5"	37
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2004"	"2004"	"White"	"2106-3"	245
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2005"	"2005"	"Black or African American"	"2054-5"	48
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2005"	"2005"	"White"	"2106-3"	261
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2006"	"2006"	"Black or African American"	"2054-5"	48
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2006"	"2006"	"White"	"2106-3"	265
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2007"	"2007"	"Black or African American"	"2054-5"	38
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2007"	"2007"	"White"	"2106-3"	286
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2008"	"2008"	"Black or African American"	"2054-5"	55
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2008"	"2008"	"White"	"2106-3"	302
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2009"	"2009"	"Black or African American"	"2054-5"	43
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2009"	"2009"	"White"	"2106-3"	305
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2010"	"2010"	"Black or African American"	"2054-5"	73
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2010"	"2010"	"White"	"2106-3"	293
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2011"	"2011"	"Black or African American"	"2054-5"	65
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2011"	"2011"	"White"	"2106-3"	338
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2012"	"2012"	"Black or African American"	"2054-5"	60
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2012"	"2012"	"White"	"2106-3"	328
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2013"	"2013"	"Black or African American"	"2054-5"	58
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2013"	"2013"	"White"	"2106-3"	351
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	16
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	17
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2000"	"2000"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	20
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	26
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	26
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2003"	"2003"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	20
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	18
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2005"	"2005"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	18
