"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2000"	"2000"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2003"	"2003"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2006"	"2006"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2007"	"2007"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2009"	"2009"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2010"	"2010"	"White"	"2106-3"	21
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2011"	"2011"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2012"	"2012"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"2013"	"2013"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"1999"	"1999"	"White"	"2106-3"	46
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2000"	"2000"	"White"	"2106-3"	55
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2001"	"2001"	"White"	"2106-3"	48
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2002"	"2002"	"White"	"2106-3"	55
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2003"	"2003"	"White"	"2106-3"	59
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2004"	"2004"	"White"	"2106-3"	52
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2005"	"2005"	"White"	"2106-3"	59
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2006"	"2006"	"White"	"2106-3"	49
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2007"	"2007"	"White"	"2106-3"	67
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2008"	"2008"	"Black or African American"	"2054-5"	17
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2008"	"2008"	"White"	"2106-3"	65
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2009"	"2009"	"White"	"2106-3"	63
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2010"	"2010"	"Black or African American"	"2054-5"	24
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2010"	"2010"	"White"	"2106-3"	72
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2011"	"2011"	"Black or African American"	"2054-5"	20
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2011"	"2011"	"White"	"2106-3"	67
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2012"	"2012"	"Black or African American"	"2054-5"	16
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2012"	"2012"	"White"	"2106-3"	61
	"Brain and Other Nervous System"	"31010-31040"	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"2013"	"2013"	"White"	"2106-3"	68
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"1999"	"1999"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2000"	"2000"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2001"	"2001"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2002"	"2002"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2003"	"2003"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2004"	"2004"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2005"	"2005"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2006"	"2006"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2007"	"2007"	"White"	"2106-3"	31
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2008"	"2008"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2009"	"2009"	"White"	"2106-3"	28
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2010"	"2010"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2012"	"2012"	"White"	"2106-3"	36
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2013"	"2013"	"White"	"2106-3"	28
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2013"	"2013"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"1999"	"1999"	"White"	"2106-3"	42
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2000"	"2000"	"White"	"2106-3"	35
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2001"	"2001"	"White"	"2106-3"	33
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2002"	"2002"	"White"	"2106-3"	30
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2003"	"2003"	"White"	"2106-3"	36
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2004"	"2004"	"White"	"2106-3"	44
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2005"	"2005"	"White"	"2106-3"	47
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2006"	"2006"	"White"	"2106-3"	30
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2007"	"2007"	"White"	"2106-3"	47
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2008"	"2008"	"White"	"2106-3"	47
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2009"	"2009"	"White"	"2106-3"	35
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2010"	"2010"	"White"	"2106-3"	46
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2011"	"2011"	"Black or African American"	"2054-5"	16
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2011"	"2011"	"White"	"2106-3"	37
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2012"	"2012"	"White"	"2106-3"	36
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2013"	"2013"	"White"	"2106-3"	58
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2006"	"2006"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"1999"	"1999"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2000"	"2000"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2001"	"2001"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2003"	"2003"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2004"	"2004"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2007"	"2007"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2008"	"2008"	"White"	"2106-3"	21
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2009"	"2009"	"White"	"2106-3"	33
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2010"	"2010"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2011"	"2011"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2012"	"2012"	"White"	"2106-3"	21
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2013"	"2013"	"White"	"2106-3"	39
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"1999"	"1999"	"White"	"2106-3"	75
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2000"	"2000"	"White"	"2106-3"	88
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2001"	"2001"	"White"	"2106-3"	75
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2002"	"2002"	"White"	"2106-3"	78
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2003"	"2003"	"White"	"2106-3"	85
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2004"	"2004"	"White"	"2106-3"	90
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2005"	"2005"	"White"	"2106-3"	80
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2006"	"2006"	"White"	"2106-3"	78
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2007"	"2007"	"White"	"2106-3"	79
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2008"	"2008"	"White"	"2106-3"	78
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2009"	"2009"	"White"	"2106-3"	110
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2010"	"2010"	"White"	"2106-3"	78
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2011"	"2011"	"White"	"2106-3"	89
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2012"	"2012"	"White"	"2106-3"	100
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2013"	"2013"	"White"	"2106-3"	92
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2000"	"2000"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2002"	"2002"	"White"	"2106-3"	21
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2005"	"2005"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2006"	"2006"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2010"	"2010"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2011"	"2011"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2013"	"2013"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"1999"	"1999"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2000"	"2000"	"White"	"2106-3"	25
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2001"	"2001"	"White"	"2106-3"	31
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2002"	"2002"	"White"	"2106-3"	25
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2003"	"2003"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2004"	"2004"	"White"	"2106-3"	29
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2005"	"2005"	"White"	"2106-3"	31
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2006"	"2006"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2008"	"2008"	"White"	"2106-3"	27
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2009"	"2009"	"White"	"2106-3"	39
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2010"	"2010"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2011"	"2011"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2012"	"2012"	"White"	"2106-3"	33
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2013"	"2013"	"White"	"2106-3"	28
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2000"	"2000"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2002"	"2002"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2006"	"2006"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2007"	"2007"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2011"	"2011"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2012"	"2012"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2013"	"2013"	"White"	"2106-3"	27
	"Brain and Other Nervous System"	"31010-31040"	" Charleston-North Charleston, SC  "	"16700"	"2009"	"2009"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"1999"	"1999"	"White"	"2106-3"	27
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2000"	"2000"	"White"	"2106-3"	41
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2001"	"2001"	"White"	"2106-3"	32
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2002"	"2002"	"White"	"2106-3"	33
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2003"	"2003"	"White"	"2106-3"	31
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2004"	"2004"	"White"	"2106-3"	34
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2005"	"2005"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2006"	"2006"	"White"	"2106-3"	30
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2007"	"2007"	"White"	"2106-3"	33
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2008"	"2008"	"White"	"2106-3"	41
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2009"	"2009"	"White"	"2106-3"	34
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2010"	"2010"	"White"	"2106-3"	32
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2011"	"2011"	"White"	"2106-3"	32
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2012"	"2012"	"White"	"2106-3"	40
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2013"	"2013"	"White"	"2106-3"	49
	"Brain and Other Nervous System"	"31010-31040"	" Chattanooga, TN-GA  "	"16860"	"2011"	"2011"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"1999"	"1999"	"White"	"2106-3"	143
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2000"	"2000"	"Black or African American"	"2054-5"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2000"	"2000"	"White"	"2106-3"	126
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2001"	"2001"	"Black or African American"	"2054-5"	23
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2001"	"2001"	"White"	"2106-3"	130
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2002"	"2002"	"Black or African American"	"2054-5"	20
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2002"	"2002"	"White"	"2106-3"	113
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2003"	"2003"	"White"	"2106-3"	149
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"Black or African American"	"2054-5"	16
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2004"	"2004"	"White"	"2106-3"	133
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2005"	"2005"	"White"	"2106-3"	117
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2006"	"2006"	"Black or African American"	"2054-5"	19
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2006"	"2006"	"White"	"2106-3"	126
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2007"	"2007"	"Black or African American"	"2054-5"	20
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2007"	"2007"	"White"	"2106-3"	129
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2008"	"2008"	"Black or African American"	"2054-5"	23
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2008"	"2008"	"White"	"2106-3"	107
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2009"	"2009"	"Black or African American"	"2054-5"	22
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2009"	"2009"	"White"	"2106-3"	135
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2010"	"2010"	"Black or African American"	"2054-5"	18
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2010"	"2010"	"White"	"2106-3"	145
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2011"	"2011"	"Black or African American"	"2054-5"	17
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2011"	"2011"	"White"	"2106-3"	143
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2012"	"2012"	"White"	"2106-3"	157
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2013"	"2013"	"Black or African American"	"2054-5"	21
	"Brain and Other Nervous System"	"31010-31040"	" Chicago-Naperville-Elgin, IL-IN-WI  "	"16980"	"2013"	"2013"	"White"	"2106-3"	142
	"Brain and Other Nervous System"	"31010-31040"	" Cincinnati, OH-KY-IN  "	"17140"	"1999"	"1999"	"White"	"2106-3"	45
	"Brain and Other Nervous System"	"31010-31040"	" Cincinnati, OH-KY-IN  "	"17140"	"2000"	"2000"	"White"	"2106-3"	36
	"Brain and Other Nervous System"	"31010-31040"	" Cincinnati, OH-KY-IN  "	"17140"	"2001"	"2001"	"White"	"2106-3"	39
	"Brain and Other Nervous System"	"31010-31040"	" Cincinnati, OH-KY-IN  "	"17140"	"2002"	"2002"	"White"	"2106-3"	28
	"Brain and Other Nervous System"	"31010-31040"	" Cincinnati, OH-KY-IN  "	"17140"	"2003"	"2003"	"White"	"2106-3"	36
	"Brain and Other Nervous System"	"31010-31040"	" Cincinnati, OH-KY-IN  "	"17140"	"2004"	"2004"	"White"	"2106-3"	31
	"Brain and Other Nervous System"	"31010-31040"	" Cincinnati, OH-KY-IN  "	"17140"	"2005"	"2005"	"White"	"2106-3"	38
	"Brain and Other Nervous System"	"31010-31040"	" Cincinnati, OH-KY-IN  "	"17140"	"2006"	"2006"	"White"	"2106-3"	41
	"Brain and Other Nervous System"	"31010-31040"	" Cincinnati, OH-KY-IN  "	"17140"	"2007"	"2007"	"White"	"2106-3"	34
	"Brain and Other Nervous System"	"31010-31040"	" Cincinnati, OH-KY-IN  "	"17140"	"2008"	"2008"	"White"	"2106-3"	41
