"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Sex"	"Sex Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	Count
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2008"	"2008"	54
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2009"	"2009"	40
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2010"	"2010"	32
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2011"	"2011"	42
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2012"	"2012"	45
	"Thyroid"	"32010"	"Female"	"F"	" Augusta-Richmond County, GA-SC  "	"12260"	"2013"	"2013"	63
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"1999"	"1999"	67
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2000"	"2000"	101
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2001"	"2001"	93
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2002"	"2002"	113
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2003"	"2003"	107
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2004"	"2004"	143
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2005"	"2005"	191
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2006"	"2006"	193
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2007"	"2007"	191
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2008"	"2008"	212
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2009"	"2009"	185
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2010"	"2010"	174
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2011"	"2011"	201
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2012"	"2012"	195
	"Thyroid"	"32010"	"Female"	"F"	" Austin-Round Rock, TX  "	"12420"	"2013"	"2013"	202
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"1999"	"1999"	34
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2000"	"2000"	32
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2001"	"2001"	22
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2002"	"2002"	50
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2003"	"2003"	38
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2004"	"2004"	47
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2005"	"2005"	36
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2006"	"2006"	60
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2007"	"2007"	75
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2008"	"2008"	90
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2009"	"2009"	60
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2010"	"2010"	56
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2011"	"2011"	74
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2012"	"2012"	83
	"Thyroid"	"32010"	"Female"	"F"	" Bakersfield, CA  "	"12540"	"2013"	"2013"	61
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"1999"	"1999"	115
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2000"	"2000"	180
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2001"	"2001"	173
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2002"	"2002"	180
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2003"	"2003"	214
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2004"	"2004"	226
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2005"	"2005"	219
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2006"	"2006"	209
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2007"	"2007"	265
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2008"	"2008"	250
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2009"	"2009"	291
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2010"	"2010"	307
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2011"	"2011"	244
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2012"	"2012"	304
	"Thyroid"	"32010"	"Female"	"F"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2013"	"2013"	330
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"1999"	"1999"	16
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2000"	"2000"	27
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2001"	"2001"	23
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2002"	"2002"	21
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2003"	"2003"	26
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2004"	"2004"	23
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2005"	"2005"	29
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2006"	"2006"	31
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2007"	"2007"	38
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2008"	"2008"	54
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2009"	"2009"	62
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2010"	"2010"	50
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2011"	"2011"	65
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2012"	"2012"	54
	"Thyroid"	"32010"	"Female"	"F"	" Baton Rouge, LA  "	"12940"	"2013"	"2013"	77
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"1999"	"1999"	43
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2000"	"2000"	48
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2001"	"2001"	44
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2002"	"2002"	62
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2003"	"2003"	67
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2004"	"2004"	82
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2005"	"2005"	88
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2006"	"2006"	49
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2007"	"2007"	79
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2008"	"2008"	86
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2009"	"2009"	71
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2010"	"2010"	74
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2011"	"2011"	82
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2012"	"2012"	81
	"Thyroid"	"32010"	"Female"	"F"	" Birmingham-Hoover, AL  "	"13820"	"2013"	"2013"	74
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"1999"	"1999"	18
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2000"	"2000"	35
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2001"	"2001"	47
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2002"	"2002"	36
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2003"	"2003"	43
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2004"	"2004"	47
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2005"	"2005"	63
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2006"	"2006"	85
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2007"	"2007"	70
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2008"	"2008"	86
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2009"	"2009"	91
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2010"	"2010"	86
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2011"	"2011"	76
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2012"	"2012"	91
	"Thyroid"	"32010"	"Female"	"F"	" Boise City, ID  "	"14260"	"2013"	"2013"	65
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"1999"	"1999"	246
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2000"	"2000"	323
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2001"	"2001"	361
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2002"	"2002"	397
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2003"	"2003"	493
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2004"	"2004"	501
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2005"	"2005"	563
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2006"	"2006"	691
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2007"	"2007"	761
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2008"	"2008"	761
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2009"	"2009"	844
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2010"	"2010"	719
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2011"	"2011"	836
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2012"	"2012"	778
	"Thyroid"	"32010"	"Female"	"F"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2013"	"2013"	745
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"1999"	"1999"	50
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2000"	"2000"	63
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2001"	"2001"	76
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2002"	"2002"	89
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2003"	"2003"	90
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2004"	"2004"	85
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2005"	"2005"	109
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2006"	"2006"	125
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2007"	"2007"	157
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2008"	"2008"	133
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2009"	"2009"	167
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2010"	"2010"	164
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2011"	"2011"	169
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2012"	"2012"	144
	"Thyroid"	"32010"	"Female"	"F"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2013"	"2013"	170
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"1999"	"1999"	69
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2000"	"2000"	87
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2001"	"2001"	98
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2002"	"2002"	79
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2003"	"2003"	102
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2004"	"2004"	101
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2005"	"2005"	93
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2006"	"2006"	127
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2007"	"2007"	131
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2008"	"2008"	158
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2009"	"2009"	125
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2010"	"2010"	148
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2011"	"2011"	181
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2012"	"2012"	170
	"Thyroid"	"32010"	"Female"	"F"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2013"	"2013"	153
	"Thyroid"	"32010"	"Female"	"F"	" Cape Coral-Fort Myers, FL  "	"15980"	"2003"	"2003"	20
	"Thyroid"	"32010"	"Female"	"F"	" Cape Coral-Fort Myers, FL  "	"15980"	"2004"	"2004"	19
	"Thyroid"	"32010"	"Female"	"F"	" Cape Coral-Fort Myers, FL  "	"15980"	"2005"	"2005"	20
	"Thyroid"	"32010"	"Female"	"F"	" Cape Coral-Fort Myers, FL  "	"15980"	"2006"	"2006"	20
	"Thyroid"	"32010"	"Female"	"F"	" Cape Coral-Fort Myers, FL  "	"15980"	"2007"	"2007"	23
	"Thyroid"	"32010"	"Female"	"F"	" Cape Coral-Fort Myers, FL  "	"15980"	"2008"	"2008"	27
	"Thyroid"	"32010"	"Female"	"F"	" Cape Coral-Fort Myers, FL  "	"15980"	"2009"	"2009"	29
	"Thyroid"	"32010"	"Female"	"F"	" Cape Coral-Fort Myers, FL  "	"15980"	"2010"	"2010"	18
	"Thyroid"	"32010"	"Female"	"F"	" Cape Coral-Fort Myers, FL  "	"15980"	"2011"	"2011"	35
	"Thyroid"	"32010"	"Female"	"F"	" Cape Coral-Fort Myers, FL  "	"15980"	"2012"	"2012"	38
