"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2002"	"2002"	"70-74 years"	"70-74"	24
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2002"	"2002"	"75-79 years"	"75-79"	26
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2002"	"2002"	"80-84 years"	"80-84"	17
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2002"	"2002"	"85+ years"	"85+"	22
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2003"	"2003"	"50-54 years"	"50-54"	20
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2003"	"2003"	"55-59 years"	"55-59"	18
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2003"	"2003"	"60-64 years "	"60-64"	26
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2003"	"2003"	"65-69 years"	"65-69"	25
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2003"	"2003"	"70-74 years"	"70-74"	29
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2003"	"2003"	"75-79 years"	"75-79"	26
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2003"	"2003"	"85+ years"	"85+"	16
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2004"	"2004"	"55-59 years"	"55-59"	30
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2004"	"2004"	"60-64 years "	"60-64"	17
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2004"	"2004"	"65-69 years"	"65-69"	16
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2004"	"2004"	"70-74 years"	"70-74"	21
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2004"	"2004"	"80-84 years"	"80-84"	23
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2004"	"2004"	"85+ years"	"85+"	20
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2005"	"2005"	"50-54 years"	"50-54"	18
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2005"	"2005"	"55-59 years"	"55-59"	23
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2005"	"2005"	"60-64 years "	"60-64"	21
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2005"	"2005"	"65-69 years"	"65-69"	21
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2005"	"2005"	"70-74 years"	"70-74"	26
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2005"	"2005"	"75-79 years"	"75-79"	23
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2005"	"2005"	"80-84 years"	"80-84"	32
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2006"	"2006"	"55-59 years"	"55-59"	28
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2006"	"2006"	"60-64 years "	"60-64"	16
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2006"	"2006"	"65-69 years"	"65-69"	16
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2006"	"2006"	"70-74 years"	"70-74"	16
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2006"	"2006"	"75-79 years"	"75-79"	32
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2006"	"2006"	"80-84 years"	"80-84"	26
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2006"	"2006"	"85+ years"	"85+"	22
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2007"	"2007"	"60-64 years "	"60-64"	25
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2007"	"2007"	"65-69 years"	"65-69"	27
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2007"	"2007"	"70-74 years"	"70-74"	26
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2007"	"2007"	"80-84 years"	"80-84"	22
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2007"	"2007"	"85+ years"	"85+"	22
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2008"	"2008"	"55-59 years"	"55-59"	22
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2008"	"2008"	"60-64 years "	"60-64"	29
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2008"	"2008"	"65-69 years"	"65-69"	31
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2008"	"2008"	"70-74 years"	"70-74"	24
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2008"	"2008"	"75-79 years"	"75-79"	21
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2008"	"2008"	"80-84 years"	"80-84"	21
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2008"	"2008"	"85+ years"	"85+"	29
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2009"	"2009"	"60-64 years "	"60-64"	18
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2009"	"2009"	"65-69 years"	"65-69"	25
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2009"	"2009"	"70-74 years"	"70-74"	25
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2009"	"2009"	"75-79 years"	"75-79"	27
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2009"	"2009"	"80-84 years"	"80-84"	26
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2009"	"2009"	"85+ years"	"85+"	36
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2010"	"2010"	"50-54 years"	"50-54"	23
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2010"	"2010"	"55-59 years"	"55-59"	23
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2010"	"2010"	"60-64 years "	"60-64"	23
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2010"	"2010"	"65-69 years"	"65-69"	26
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2010"	"2010"	"75-79 years"	"75-79"	24
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2010"	"2010"	"80-84 years"	"80-84"	23
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2010"	"2010"	"85+ years"	"85+"	31
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2011"	"2011"	"50-54 years"	"50-54"	16
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2011"	"2011"	"55-59 years"	"55-59"	31
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2011"	"2011"	"60-64 years "	"60-64"	24
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2011"	"2011"	"65-69 years"	"65-69"	31
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2011"	"2011"	"70-74 years"	"70-74"	21
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2011"	"2011"	"75-79 years"	"75-79"	27
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2011"	"2011"	"80-84 years"	"80-84"	23
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2011"	"2011"	"85+ years"	"85+"	27
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2012"	"2012"	"50-54 years"	"50-54"	20
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2012"	"2012"	"55-59 years"	"55-59"	18
	"Brain and Other Nervous System"	"31010-31040"	" Los Angeles-Long Beach-Anaheim, CA  "	"31080"	"2012"	"2012"	"60-64 years "	"60-64"	28
