"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"MSA"	"MSA Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths
	"Brain and Other Nervous System"	"31010-31040"	" Augusta-Richmond County, GA-SC  "	"12260"	"2012"	"2012"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"1999"	"1999"	"Male"	"M"	24
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2000"	"2000"	"Male"	"M"	26
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2001"	"2001"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2002"	"2002"	"Male"	"M"	34
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2003"	"2003"	"Male"	"M"	31
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2004"	"2004"	"Male"	"M"	28
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2005"	"2005"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2006"	"2006"	"Male"	"M"	31
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2007"	"2007"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2008"	"2008"	"Male"	"M"	25
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2009"	"2009"	"Male"	"M"	36
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2010"	"2010"	"Male"	"M"	39
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2011"	"2011"	"Male"	"M"	35
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2012"	"2012"	"Male"	"M"	45
	"Brain and Other Nervous System"	"31010-31040"	" Austin-Round Rock, TX  "	"12420"	"2013"	"2013"	"Male"	"M"	46
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2001"	"2001"	"Male"	"M"	18
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2004"	"2004"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2005"	"2005"	"Male"	"M"	19
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2007"	"2007"	"Male"	"M"	25
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2008"	"2008"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2009"	"2009"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2010"	"2010"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2011"	"2011"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Bakersfield, CA  "	"12540"	"2013"	"2013"	"Male"	"M"	18
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"1999"	"1999"	"Male"	"M"	62
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2000"	"2000"	"Male"	"M"	70
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2001"	"2001"	"Male"	"M"	63
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2002"	"2002"	"Male"	"M"	49
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2003"	"2003"	"Male"	"M"	77
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2004"	"2004"	"Male"	"M"	56
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2005"	"2005"	"Male"	"M"	54
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2006"	"2006"	"Male"	"M"	58
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2007"	"2007"	"Male"	"M"	57
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2008"	"2008"	"Male"	"M"	65
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2009"	"2009"	"Male"	"M"	74
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2010"	"2010"	"Male"	"M"	66
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2011"	"2011"	"Male"	"M"	55
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2012"	"2012"	"Male"	"M"	78
	"Brain and Other Nervous System"	"31010-31040"	" Baltimore-Columbia-Towson, MD  "	"12580"	"2013"	"2013"	"Male"	"M"	66
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2001"	"2001"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2004"	"2004"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2005"	"2005"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2006"	"2006"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2007"	"2007"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2008"	"2008"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2009"	"2009"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2011"	"2011"	"Male"	"M"	19
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2012"	"2012"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	" Baton Rouge, LA  "	"12940"	"2013"	"2013"	"Male"	"M"	29
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"1999"	"1999"	"Male"	"M"	29
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2000"	"2000"	"Male"	"M"	25
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2001"	"2001"	"Male"	"M"	29
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2002"	"2002"	"Male"	"M"	28
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2003"	"2003"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2004"	"2004"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2005"	"2005"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2006"	"2006"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2007"	"2007"	"Male"	"M"	35
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2008"	"2008"	"Male"	"M"	39
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2009"	"2009"	"Male"	"M"	38
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2010"	"2010"	"Male"	"M"	26
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2011"	"2011"	"Male"	"M"	28
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2012"	"2012"	"Male"	"M"	33
	"Brain and Other Nervous System"	"31010-31040"	" Birmingham-Hoover, AL  "	"13820"	"2013"	"2013"	"Male"	"M"	40
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"1999"	"1999"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2000"	"2000"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2003"	"2003"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2004"	"2004"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2009"	"2009"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2010"	"2010"	"Male"	"M"	21
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2011"	"2011"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2012"	"2012"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Boise City, ID  "	"14260"	"2013"	"2013"	"Male"	"M"	24
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"1999"	"1999"	"Male"	"M"	104
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2000"	"2000"	"Male"	"M"	105
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2001"	"2001"	"Male"	"M"	120
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2002"	"2002"	"Male"	"M"	118
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2003"	"2003"	"Male"	"M"	99
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2004"	"2004"	"Male"	"M"	98
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2005"	"2005"	"Male"	"M"	111
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2006"	"2006"	"Male"	"M"	122
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2007"	"2007"	"Male"	"M"	120
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2008"	"2008"	"Male"	"M"	95
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2009"	"2009"	"Male"	"M"	116
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2010"	"2010"	"Male"	"M"	113
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2011"	"2011"	"Male"	"M"	119
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2012"	"2012"	"Male"	"M"	117
	"Brain and Other Nervous System"	"31010-31040"	" Boston-Cambridge-Newton, MA-NH  "	"14460"	"2013"	"2013"	"Male"	"M"	123
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"1999"	"1999"	"Male"	"M"	18
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2000"	"2000"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2001"	"2001"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2002"	"2002"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2003"	"2003"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2004"	"2004"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2005"	"2005"	"Male"	"M"	18
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2007"	"2007"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2008"	"2008"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2009"	"2009"	"Male"	"M"	19
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2010"	"2010"	"Male"	"M"	28
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2011"	"2011"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2012"	"2012"	"Male"	"M"	33
	"Brain and Other Nervous System"	"31010-31040"	" Bridgeport-Stamford-Norwalk, CT  "	"14860"	"2013"	"2013"	"Male"	"M"	18
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"1999"	"1999"	"Male"	"M"	31
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2000"	"2000"	"Male"	"M"	33
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2001"	"2001"	"Male"	"M"	31
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2002"	"2002"	"Male"	"M"	49
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2003"	"2003"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2004"	"2004"	"Male"	"M"	28
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2005"	"2005"	"Male"	"M"	32
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2006"	"2006"	"Male"	"M"	29
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2007"	"2007"	"Male"	"M"	37
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2008"	"2008"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2009"	"2009"	"Male"	"M"	35
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2010"	"2010"	"Male"	"M"	36
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2011"	"2011"	"Male"	"M"	31
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2012"	"2012"	"Male"	"M"	33
	"Brain and Other Nervous System"	"31010-31040"	" Buffalo-Cheektowaga-Niagara Falls, NY  "	"15380"	"2013"	"2013"	"Male"	"M"	33
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2000"	"2000"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2001"	"2001"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2003"	"2003"	"Male"	"M"	23
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2005"	"2005"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2006"	"2006"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2007"	"2007"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2009"	"2009"	"Male"	"M"	29
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2012"	"2012"	"Male"	"M"	28
	"Brain and Other Nervous System"	"31010-31040"	" Cape Coral-Fort Myers, FL  "	"15980"	"2013"	"2013"	"Male"	"M"	24
	"Brain and Other Nervous System"	"31010-31040"	" Charleston-North Charleston, SC  "	"16700"	"1999"	"1999"	"Male"	"M"	19
	"Brain and Other Nervous System"	"31010-31040"	" Charleston-North Charleston, SC  "	"16700"	"2000"	"2000"	"Male"	"M"	17
	"Brain and Other Nervous System"	"31010-31040"	" Charleston-North Charleston, SC  "	"16700"	"2007"	"2007"	"Male"	"M"	22
	"Brain and Other Nervous System"	"31010-31040"	" Charleston-North Charleston, SC  "	"16700"	"2008"	"2008"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Charleston-North Charleston, SC  "	"16700"	"2009"	"2009"	"Male"	"M"	19
	"Brain and Other Nervous System"	"31010-31040"	" Charleston-North Charleston, SC  "	"16700"	"2010"	"2010"	"Male"	"M"	18
	"Brain and Other Nervous System"	"31010-31040"	" Charleston-North Charleston, SC  "	"16700"	"2011"	"2011"	"Male"	"M"	20
	"Brain and Other Nervous System"	"31010-31040"	" Charleston-North Charleston, SC  "	"16700"	"2012"	"2012"	"Male"	"M"	16
	"Brain and Other Nervous System"	"31010-31040"	" Charleston-North Charleston, SC  "	"16700"	"2013"	"2013"	"Male"	"M"	27
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"1999"	"1999"	"Male"	"M"	42
	"Brain and Other Nervous System"	"31010-31040"	" Charlotte-Concord-Gastonia, NC-SC  "	"16740"	"2000"	"2000"	"Male"	"M"	41
